eval mean 100 episode reward,eval_qs_difference,total timesteps,eval_ep_rewmean,eval_returns,eval_time_elapsed,eval_qs,eval_discount_q,eval_abs_qs_difference,eval_eplenmean
685.6,138.88116010811052,112001,504.448201,152.38134166504284,6,285.803,161.15922842678546,140.14244,218.54545454545453
,,112724,,,,,,,
690.0,109.94612875278482,113001,776.5504825454544,1073.7646292696236,7,305.5273,191.05365449285512,117.12219,276.1818181818182
,,113418,,,,,,,
,,113792,,,,,,,
714.6,110.30358180237008,114001,668.3663245454545,707.5710110151974,6,298.60437,208.66332218566924,117.3011,227.8181818181818
,,114627,,,,,,,
691.0,144.39114583623288,115001,509.83032809090906,317.9551500309077,5,304.61554,182.14789518638523,150.5055,174.8181818181818
,,115465,,,,,,,
708.7,97.31337192548045,116001,965.7125680909091,948.0794775171569,8,352.2079,236.60524437802167,98.778175,284.90909090909093
,,116224,,,,,,,
724.4,133.84145272648428,117001,625.2495402727272,643.277908714984,6,325.87598,203.02877616465022,135.39809,210.45454545454547
,,117004,,,,,,,
,,117739,,,,,,,
673.9,162.34650800499102,118001,445.9969892727273,441.97579861619363,5,311.9912,160.4054604432569,162.99791,196.1818181818182
,,118385,,,,,,,
,,118451,,,,,,,
,,118694,,,,,,,
616.4,202.70840442285626,119001,112.86249609090909,146.98060943664245,2,247.19012,69.88971190677029,203.44156,84.81818181818181
,,119237,,,,,,,
,,119591,,,,,,,
639.2,156.18694700130132,120001,1167.861805181818,2096.4907561042382,13,339.28055,142.0494788116107,157.81458,473.09090909090907
,,120792,,,,,,,
628.2,192.4754660983876,121001,372.76283918181815,20.388563921616985,5,298.49918,107.6311952761563,193.41675,181.0909090909091
,,121878,,,,,,,
579.4,218.7211851243587,122001,235.10429772727275,97.7499644603229,5,283.80814,81.84654627909161,219.85716,202.72727272727272
,,122577,,,,,,,
538.9,180.6795222491188,123001,536.6621424545455,2214.7545246844206,9,295.41647,110.25198703147353,184.32872,321.90909090909093
,,123045,,,,,,,
,,123664,,,,,,,
558.9,192.5282604124685,124001,593.5798985454545,375.26222865412285,15,297.9059,121.85364704873396,192.63744,545.0909090909091
,,124471,,,,,,,
541.0,195.85656027016137,125001,749.8924482727272,895.5509119090119,17,316.12012,95.69631049814205,195.89879,609.3636363636364
,,125084,,,,,,,
,,125951,,,,,,,
575.2,104.72882661719349,126001,1054.8755145454545,1733.727750694232,8,366.7869,213.45229146346048,110.512215,311.1818181818182
632.1,113.66391097014274,127001,914.5979076363636,800.3508153340276,7,359.9945,225.29784764917247,126.69689,270.27272727272725
,,127159,,,,,,,
,,127940,,,,,,,
658.7,230.81877342529663,128001,436.7593616363636,1125.9899333875835,6,358.55295,129.23422019645807,231.37216,218.0909090909091
,,128363,,,,,,,
608.1,226.87825798948535,129001,424.03420872727276,611.947898463863,5,365.85226,150.76908369057367,227.14526,179.0909090909091
,,129131,,,,,,,
,,129815,,,,,,,
580.0,229.91583878297942,130001,368.28430799999995,574.4571921008221,5,331.6727,108.01244797634695,235.12865,193.1818181818182
,,130447,,,,,,,
,,130984,,,,,,,
583.9,231.8396944802814,131001,214.78925963636365,188.28039878353252,2,318.41296,122.59457676540978,232.38222,100.36363636363636
,,131409,,,,,,,
581.9,235.03403576974532,132001,322.82044236363635,596.3393716491655,4,340.71347,132.76722089355033,236.61612,157.0
,,132006,,,,,,,
