eval_discount_q,eval_qs_difference,eval_eplenmean,eval_returns,eval mean 100 episode reward,eval_ep_rewmean,eval_qs,total timesteps,eval_abs_qs_difference,eval_time_elapsed
,,,,,,,110055,,
,,,,,,,110711,,
336.26655300850865,37.180288129926424,109.36363636363636,437.8104822069667,586.3,560.7030025454545,240.27934,111001,48.033386,3
,,,,,,,111237,,
,,,,,,,111698,,
340.7252686896185,60.910843067971,114.54545454545455,477.60027454654875,565.9,581.5962975454545,267.31485,112001,69.39904,3
,,,,,,,112147,,
,,,,,,,112592,,
365.0119072873196,49.97211568448363,150.9090909090909,551.5613105886425,589.5,755.3329158181818,278.99124,113001,76.35947,4
,,,,,,,113201,,
,,,,,,,113790,,
294.387595861106,82.9825203161351,101.0909090909091,347.79744090578697,569.0,476.48039645454537,250.72276,114001,90.54399,3
,,,,,,,114356,,
,,,,,,,114861,,
381.07606188820114,34.5229312356458,145.27272727272728,543.5072478934312,593.3,743.8264813636364,274.6592,115001,62.94397,4
,,,,,,,115288,,
,,,,,,,115804,,
409.8484698775109,26.658623282334496,186.27272727272728,1829.8747172052297,627.5,956.4097959090909,296.42953,116001,54.177906,6
,,,,,,,116239,,
,,,,,,,116750,,
