eval_qs_difference,eval_qs,total timesteps,eval_discount_q,eval_eplenmean,eval_abs_qs_difference,eval_ep_rewmean,eval_returns,eval mean 100 episode reward,eval_time_elapsed
186.52092073637243,283.9067,120001,107.32626753092458,120.18181818181819,187.24077,358.25456027272725,30.193122087626136,979.0,3
,,120984,,,,,,,
14.75298743622414,293.91458,121001,245.49320589712772,460.09090909090907,19.746672,1530.1734841818186,1463.6054790915182,1037.0,13
,,121862,,,,,,,
22.84260459996115,292.68536,122001,247.9924759305335,412.8181818181818,25.9633,1357.6209857272727,1444.0022965551227,1085.7,11
,,122956,,,,,,,
45.557977470823104,281.23465,123001,230.23730887373515,359.8181818181818,47.042526,1077.1601209090911,1064.6067609165589,1121.3,10
32.983634748762455,275.14166,124001,240.2154597118086,295.72727272727275,34.336056,954.2921288181817,907.4048357160992,1136.0,8
,,124180,,,,,,,
3.4704047085068157,270.59888,125001,257.1298225925437,282.8181818181818,9.524861,1010.8046334545455,1014.5481984050191,1162.0,8
,,125644,,,,,,,
132.3653124627797,316.39905,126001,217.6665422735279,220.27272727272728,132.96938,635.7503834545455,539.0915833184373,1022.7,6
11.820379660224184,287.05695,127001,259.34494213857465,424.54545454545456,16.128696,1454.3554365454547,3187.2251638689327,1017.3,12
,,127131,,,,,,,
250.34139362489407,295.0005,128001,68.38927377876112,50.09090909090909,250.3414,90.08904190909091,92.52373932395598,950.3,1
,,128255,,,,,,,
51.05477279134186,301.28653,129001,252.02860348928053,515.1818181818181,51.41368,1589.8506272727273,1027.0221223630372,1065.7,14
258.806968567243,292.543,130001,55.43959608093258,40.90909090909091,258.807,68.85523036363638,77.65898436455318,942.1,1
,,130696,,,,,,,
34.47942378179353,294.9358,131001,253.90432814586455,399.54545454545456,36.921326,1296.119482818182,1212.274466425738,914.3,11
17.916864440375846,300.66153,132001,247.1272516354452,479.54545454545456,24.429815,1636.0629200000003,2180.4639379634555,960.8,13
,,132230,,,,,,,
80.5528347158387,320.1702,133001,232.87243862199864,457.0,83.52237,1411.7227682727273,687.6228418479642,1022.1,13
,,133867,,,,,,,
50.22042867751923,297.3986,134001,245.02121641711526,417.72727272727275,51.607056,1314.7978163636365,1144.401216133711,1053.0,12
93.90396629279125,318.48672,135001,238.99381501423474,321.1818181818182,96.68018,1016.0014143636362,678.2743122811261,1090.6,9
,,135204,,,,,,,
32.247214151163696,301.46878,136001,257.43698503717457,459.0,33.834263,1524.715065909091,986.6930844127104,1142.0,13
,,136595,,,,,,,
